index	name	volume-mm3
203	parasubiculum	45.0
211	HATA	57.0
212	fimbria	60.0
215	hippocampal_fissure	28.0
226	HP_tail	716.0
233	presubiculum-head	98.0
234	presubiculum-body	114.0
235	subiculum-head	154.0
236	subiculum-body	260.0
237	CA1-head	505.0
238	CA1-body	135.0
239	CA3-head	124.0
240	CA3-body	99.0
241	CA4-head	125.0
242	CA4-body	133.0
243	GC-ML-DG-head	143.0
244	GC-ML-DG-body	134.0
245	molecular_layer_HP-head	304.0
246	molecular_layer_HP-body	243.0
7001	Lateral-nucleus	721.0
7003	Basal-nucleus	437.0
7005	Central-nucleus	29.0
7006	Medial-nucleus	3.0
7007	Cortical-nucleus	24.0
7008	Accessory-Basal-nucleus	233.0
7009	Corticoamygdaloid-transitio	176.0
7010	Anterior-amygdaloid-area-AAA	31.0
7015	Paralaminar-nucleus	36.0
