frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	52.52188	30.91461	113.85025	44.30292	23.4478	48.37581	30.84493	40.91662	9.86912	26.72504	25.91422	7.30765	62.71521	19.16054	44.31742	34.34938	39.18876	30.13438	35.05397	14.3631	37.57571	27.15278	204.10621	145.93648	26.2932	37.19691	312.20266	7.3736
30	60	740.96962	664.02061	455.73764	910.37796	649.78799	828.74534	669.71739	508.01535	238.63538	701.7915	225.29847	986.42463	413.68865	722.92368	340.31482	782.77204	326.20438	714.243	348.65262	483.62134	642.92362	731.02632	350.82822	361.98723	598.89348	561.65259	1092.83438	549.03289
60	90	1153.84928	1334.22926	786.82381	1115.15578	1191.36672	1069.00126	1237.97279	871.11764	901.65382	942.59659	730.01345	1856.97683	870.85306	1355.75429	1002.53732	1211.79411	964.45057	1078.99942	944.04825	396.89024	913.95548	794.77903	873.62762	1033.88487	1512.06021	1548.35146	1316.93512	907.90911
90	120	1726.16752	1696.08476	2045.79348	1588.5004	2010.16111	1449.65248	1908.55419	1270.6817	1995.02529	1311.20072	1618.58199	1546.3186	2173.9307	1171.22208	2159.55382	1152.67414	2021.05066	1228.94459	1995.05714	944.79388	1790.10348	1202.4564	823.75174	1134.20391	1979.95254	2033.67304	2581.74657	1270.94473
120	150	2432.10963	1576.4226	1854.15899	2349.77756	2057.17094	2097.9431	1928.13284	1269.41483	1653.41968	1609.98545	1568.32775	2480.31036	2102.92088	2021.36009	2040.38454	1780.40982	1890.39325	1740.31929	1837.82416	1317.71841	2139.35207	1779.47685	1177.7674	894.65105	1505.29791	1205.74496	1730.92364	2112.25648
150	180	1362.43659	1663.9627	1780.37847	1561.96659	2217.16406	1317.02302	1722.04441	1358.4459	1745.7815	1943.206	1475.76334	1660.23488	1701.07887	1492.72531	1951.93501	1614.01209	1823.60908	1684.82416	1773.38758	1541.29349	2232.06416	1602.7742	1780.71857	1789.98965	2110.57252	1818.75015	1248.75776	2120.23612
180	240	1551.57974	2509.08392	2141.94988	1762.88464	1939.6313	1624.65777	2045.59106	1429.51699	1645.23906	1733.3428	1285.14464	2356.41647	1608.71424	1959.05487	1877.99461	1826.65659	1820.13246	1746.8091	1688.94684	1453.89509	1675.44921	2027.33946	1763.70801	1649.18971	2289.07896	2262.06297	2015.56332	1712.64969
240	300	1684.24503	1906.01777	1885.76939	2122.4627	2180.88768	2175.91169	1840.64952	2133.63348	1841.45492	2110.90503	1710.56174	2579.33637	1838.27099	2953.60061	1868.74195	2694.11922	1860.8167	2434.38516	1868.06271	1657.02975	1933.79207	1861.19157	1660.11951	1991.21244	2211.48122	1982.19256	1788.68309	1637.36564
300	360	1810.88427	1611.78003	1648.09341	1854.90857	1818.98627	2099.88089	2008.8371	1806.78284	1499.01924	1677.0308	1028.18918	1949.67478	1458.58943	1870.85889	1387.26051	1915.51162	1375.58855	1842.36828	1411.72303	1516.94979	1716.28967	1216.83278	1310.47369	1748.62139	1759.18644	1867.8273	2335.59318	1797.90259
360	480	1729.49025	1640.81613	2405.92798	1984.47587	1905.53403	1593.51435	2031.93275	1416.84348	1763.0098	1394.54104	1344.16579	2407.98868	2003.80225	1714.67605	2087.22319	1610.05854	2022.79986	1553.20125	1855.80639	1444.76264	1468.201	1930.73522	1656.77789	1718.4369	1618.48003	1404.83323	1810.41381	1468.61077
480	600	1450.66033	1522.44084	1917.85666	1992.27678	2039.83627	1760.52566	2081.02029	1587.5395	1875.90503	1648.15212	1564.92785	2338.39523	1776.92936	1855.7619	1869.14147	1812.52487	1845.66346	1731.93245	1830.15501	1557.29699	1848.84949	1590.36597	1127.02692	1384.13666	1745.04421	1514.69724	1536.00645	1892.21622
600	900	1434.86507	1845.5395	2070.76188	1863.58221	1760.54719	1719.62261	1944.95828	1563.5532	1774.15943	1555.77694	1306.80934	2299.32707	1825.57168	2034.88304	1883.17496	1823.36555	1838.34684	1733.97731	1712.7845	1328.69289	1607.74708	1657.60915	1528.28607	1739.52625	1834.31184	1717.36502	1433.31828	1720.21493
900	1200	1309.211	1490.29213	2180.42023	1645.2053	1650.4522	1552.79794	1826.54166	1399.46939	1694.62255	1314.45074	1366.56774	1995.81589	1839.08528	1689.48229	1893.6823	1557.98596	1848.83959	1478.48616	1731.48565	1317.0531	1626.5655	1535.66447	1785.52161	1522.38666	1580.49267	1424.14017	1860.534	1510.31932
1200	1500	1133.61475	1528.67927	1979.34542	1618.21809	1549.36054	1315.9272	1715.40273	1433.99547	1667.92098	1291.31564	1326.13858	1747.63574	1697.86437	1503.17441	1836.25568	1449.85572	1775.82268	1363.60894	1657.42939	1389.32794	1383.79969	1715.78189	1462.55524	1465.80796	1577.59892	1360.22603	1441.13855	1229.7425
1500	1800	1256.14295	1412.86463	1752.92465	1529.78093	1478.70196	1503.68781	1436.04453	1321.21277	1386.22266	1299.78919	1206.29116	1697.16575	1669.50556	1440.8745	1672.98947	1387.62745	1589.22299	1414.5266	1496.41061	1264.44556	1625.43757	1513.7151	1388.5119	1437.27311	1735.33362	1533.47483	1191.3443	1542.6982
1800	2100	1152.6636	1392.42804	1610.10369	1435.99093	1329.50248	1289.46093	1407.47433	1186.7615	1356.20604	1201.39431	1052.07305	1609.81733	1433.96525	1403.73435	1521.59179	1334.41308	1456.94468	1285.30632	1362.21298	1156.33433	1494.98633	1316.41994	1435.69647	1335.6053	1437.8945	1262.63522	1109.89234	1449.45783
2100	2400	1283.34975	1272.58319	1587.4972	1361.73496	1321.49341	1211.00646	1414.22072	1117.21904	1318.05453	1164.40535	886.16267	1497.63988	1332.84603	1212.37827	1368.92908	1151.42894	1338.32505	1208.60266	1247.89821	1196.31043	1279.52679	1488.32494	1438.56091	1429.31452	1336.5867	1136.02901	1125.42563	1432.31277
2400	2700	965.79413	1323.02502	1237.64781	1224.66565	1156.86605	1040.21137	1269.46805	1143.8252	1113.00881	1054.76682	908.64627	1582.03045	1206.36856	1212.93802	1192.34556	1122.99945	1175.72551	1110.01606	1139.93881	1039.51163	1045.15922	1416.00508	1353.26245	1295.30643	1221.50852	1124.79983	987.4391	1152.44442
2700	3000	982.48328	1017.49093	1455.62943	1306.82372	1121.07942	1126.04185	1218.95719	1035.06676	1077.82817	1006.60169	962.3925	1503.26303	1352.09186	1320.93062	1340.88453	1245.27828	1282.54107	1126.68061	1199.63035	928.14478	1121.75772	1036.75598	1001.78986	1087.74063	1126.92419	1033.39047	1034.60179	1045.47619
3000	3300	898.36033	1242.50721	1182.80842	1028.40683	1079.82335	891.41197	1019.46413	853.02351	902.44507	975.10536	940.00583	1252.50404	1140.58545	1052.97297	1084.35436	1026.16015	1062.86319	976.99325	1032.25518	1013.94996	1148.27966	1324.61336	1353.13904	1491.80228	1254.13328	1114.72027	898.12936	1123.28809
3300	3600	1021.37254	1485.3314	1318.73528	1105.3037	1016.67365	1011.97881	1183.40675	1001.7188	932.88958	933.85372	789.29913	1234.82773	1143.00554	996.45258	1072.49194	979.62446	1033.81719	967.44706	1002.5631	921.56374	958.32195	1105.28536	1193.94031	1069.53497	1087.7536	1052.94169	952.65743	1122.77418
3600	3900	1115.48058	1258.05466	1016.01885	1095.51837	955.86806	930.97482	1001.1564	885.07478	845.48068	885.78109	1000.06835	1253.64958	1111.19468	922.55008	1048.95009	894.55193	1033.01356	921.26907	1048.98465	1022.30008	835.90092	1293.32085	1401.91199	1302.53056	1093.402	988.54602	841.32223	958.2302
3900	4200	857.09494	956.71557	1127.12842	1086.03279	997.10515	878.30519	953.17603	850.63376	949.61253	897.16027	781.76781	1169.74773	1012.51214	1027.32564	1078.94762	1023.92346	1027.17634	897.95244	952.27179	864.48507	856.75694	930.03408	902.74954	1035.63632	925.13385	820.8953	922.00354	782.80547
4200	4500	1054.82605	992.97505	973.72869	1136.4705	794.24451	930.5096	1084.15695	915.24967	932.85362	959.38619	809.0795	1243.40102	921.69959	1024.17272	929.02305	999.45054	946.2615	977.05148	941.99137	836.9214	1003.58375	1074.27961	1108.79089	972.98053	1006.36949	926.05645	769.00375	1109.58908
4500	4800	1000.70638	1156.37707	937.59543	995.35236	802.85011	1080.45013	951.17871	991.50573	930.71986	849.22165	869.25773	1040.77489	921.76516	959.90102	901.72451	913.83795	906.04174	913.40252	896.46934	868.16965	926.2409	1086.94393	1174.84058	1242.97029	1167.5951	1127.27222	719.75476	951.58677
