frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	641.93273	12.27653	26.86276	456.20306	55.8342	344.93915	93.7377	112.6363	41.02014	103.66402	94.03552	9.63671	32.28446	41.40231	39.3705	68.4798	40.75118	134.73192	57.10002	40.8117	129.20699	83.30819	11.37405	51.99058	77.10608	65.38935	306.29528	106.07226
30	60	1438.15451	373.06828	718.3397	811.54844	602.0911	861.49791	562.65923	366.49306	302.31957	636.68444	573.54063	365.19743	651.61723	297.96085	595.46044	355.96106	568.96298	542.9283	552.37791	542.22322	1119.96524	303.5671	261.46269	561.39003	635.08273	835.01977	1670.69881	945.58831
60	90	1815.4528	1228.50754	1058.03627	1975.06475	1096.14279	1669.55655	1635.78711	690.66848	627.05056	1182.98543	749.55405	1646.18036	1100.69045	1486.45271	1023.30558	1374.40698	1036.65517	1214.12862	950.91278	1203.43496	2038.88637	883.22676	910.5308	786.37732	1285.06716	1475.3247	2442.21872	1688.91845
90	120	2079.88764	1014.53765	2331.10857	2212.83358	1339.65164	2123.89391	2656.50009	1415.43746	2223.95358	1565.24927	2093.48455	2559.07606	2317.66375	2972.77171	2732.71108	2480.55553	2631.54853	2131.91992	2579.0499	1193.9901	1888.10163	1842.57352	1791.16659	1730.02986	1487.11011	1420.25443	2669.18754	1421.07708
120	150	2420.22864	1397.36328	2254.07253	2424.65921	1888.45628	2045.98783	2277.94572	1695.136	1959.00604	1845.46996	2467.37191	2759.10845	2273.33274	2013.96936	2438.70398	1888.64475	2375.72013	1936.84568	2387.29463	1546.60415	3209.45376	1063.8838	694.50879	614.64193	1843.06214	1990.69467	2697.85547	2991.83304
150	180	2329.17689	1907.64747	1816.4875	2676.74796	1366.00831	2450.89251	2187.65276	1891.10057	1165.21018	1960.87075	1186.43114	2550.47913	1648.29013	2413.68781	1443.20253	2288.36781	1496.48031	2167.76154	1481.6073	1667.04435	2040.14285	2325.68389	2552.77384	2652.51692	2354.46661	1756.30113	1853.24922	2025.26215
180	240	1896.51572	1438.53888	1589.4316	2175.54791	1781.41662	2094.91481	1787.52488	1750.94388	1583.1552	1874.92935	1838.75763	2396.27976	1911.42817	2847.33603	1865.32118	2556.93521	1799.46941	2245.65486	1865.18575	1558.29508	1372.52508	1907.71919	1981.09428	1683.45089	1661.16791	1535.66868	2171.32798	1359.14824
240	300	1674.5091	1141.17509	2110.74517	1735.73265	2228.13332	1632.20728	1632.37391	1283.9257	1759.90361	1762.69901	1958.66808	2242.08778	2289.87851	2279.01667	2165.54646	2085.15377	2057.48931	1928.75065	2047.33723	1326.30844	1808.99765	1397.44144	1211.57426	1585.73315	1730.87028	1751.85312	2113.58178	1577.96246
300	360	1628.52367	1201.37091	2073.43974	2433.09321	1629.10223	2439.67152	2236.25507	2023.76568	1707.67296	1802.70476	1938.12278	3700.22551	2163.04434	3367.77598	2085.48735	2903.78704	2055.85541	2460.01758	2060.12883	1847.88567	1558.3902	2190.71364	1248.0789	1490.26153	1603.03958	1388.95135	2004.83284	1337.80196
360	480	1758.02159	1506.9191	2074.70676	1984.30909	1765.15979	1917.70461	1807.33745	1713.78636	1489.9857	1777.39228	1647.32975	2271.72784	2220.65175	1933.99642	1993.13294	1945.83953	1958.87724	1930.47927	1905.74619	1526.66733	1491.60751	1824.16695	1895.31087	1605.89924	1659.59062	1332.70375	1665.35457	1235.55642
480	600	1101.01178	1254.93014	1981.06483	1764.41829	1809.63332	1307.51759	1994.69261	1420.64223	1442.23232	1666.85166	1595.56041	2343.7752	2115.25848	1995.48104	1779.28071	1896.28801	1816.18256	1773.83413	1798.80309	1471.68776	1708.48444	1883.50681	1661.06201	1487.5698	1504.74254	1183.03701	1464.48941	1520.95828
600	900	1439.4446	1340.18454	1967.6873	1693.24538	1839.74904	1701.25791	1701.25305	1707.40549	1617.94338	1617.95933	1668.69954	2227.20635	2031.98837	2210.86554	1924.74576	1991.96211	1886.95327	1894.91554	1876.5479	1694.38186	1744.23389	1769.15931	1613.66878	1627.00078	1620.40694	1472.41813	1884.06331	1554.49604
900	1200	1217.2583	1379.19901	1884.5453	1507.60209	1653.63562	1514.78774	1675.33973	1485.70607	1483.39994	1565.79794	1612.81545	2335.22001	1912.92586	1809.30795	1860.99786	1686.91946	1821.06999	1729.98164	1759.6045	1634.46256	1787.39118	2009.08781	1683.70443	1483.03759	1888.99825	1381.0316	1510.3663	1624.89595
1200	1500	1219.11031	1235.7516	1771.15424	1501.27308	1594.45842	1391.72914	1467.99716	1473.99844	1347.87374	1448.32608	1587.71801	1970.1277	1911.91361	1790.53379	1791.41982	1664.38333	1728.09316	1625.33754	1689.01408	1434.44063	1458.51767	1774.372	1529.80448	1438.81838	1574.25407	1285.88745	1382.11518	1296.23891
1500	1800	1177.05372	1306.79871	1558.18997	1325.17745	1372.5401	1268.87692	1290.34615	1321.80421	1291.89688	1321.98402	1434.82238	1695.28485	1629.83336	1651.18256	1514.54976	1547.68911	1483.0603	1416.77006	1485.1575	1342.31742	1453.3981	1648.93496	1507.9552	1539.43679	1613.49916	1369.35377	1231.69774	1178.65511
1800	2100	1082.00796	1252.34669	1420.63164	1405.823	1198.7047	1393.89738	1304.17702	1494.15914	1327.79547	1385.19135	1377.92346	1601.1841	1393.80125	1673.74621	1465.11763	1593.05233	1452.57281	1498.28637	1403.65996	1603.38521	1463.89167	1623.98848	1489.58207	1300.93868	1436.53369	1236.01683	1378.81777	1295.66193
2100	2400	1032.95706	1216.75962	1349.63688	1320.61345	1191.11902	1256.6841	1290.78012	1249.73148	1392.94729	1207.34657	1416.6684	1425.27905	1534.70461	1502.94951	1513.10959	1439.63708	1491.11406	1333.54697	1482.12395	1112.53218	1203.145	1206.07541	1296.49695	1180.29718	1206.56602	1121.38544	1011.31969	1149.37656
2400	2700	865.25713	1001.81995	1246.24121	1089.5659	1052.70297	927.41884	1204.80942	1088.04205	1188.27926	987.31873	1183.60367	1434.04403	1248.77174	1175.02063	1306.36738	1134.24702	1297.68872	1087.70716	1261.401	952.90528	1066.10785	1472.21323	1297.29093	1234.49165	1200.7997	1093.72927	886.1622	1080.60885
