frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.00091	0.00698	1.37008	0.22016	0.87977	0.02992	0.01322	0.11219	0.19774	1.69271	0.09271	0.24634	0.36008	0.38608	0.47462	0.47671	0.23099	0.52758	0.09906	1.81735	0.56732	0.03819	0.0	3e-05	0.03601	0.00085	0.00157	0.3162
30	60	782.69568	760.56245	818.70579	760.13983	876.96648	625.18605	1298.96876	396.69146	661.40513	404.84614	353.17404	1039.35958	756.14035	594.28018	818.55941	499.05341	751.39713	467.45065	728.0432	585.80494	1320.76929	892.43239	780.51734	869.33414	1029.55076	1018.79935	2274.5268	1082.62718
60	90	3900.91244	1658.44602	1695.84395	2331.0011	2075.75375	3317.5392	2437.71455	1622.97089	1639.98415	1828.65738	1190.01191	2367.76755	1372.38292	2445.37167	1877.73695	2255.24423	1844.77	2227.41147	1608.92064	1500.12162	2203.63293	2335.5248	1241.7108	1457.21049	2122.98574	2557.27285	3011.21607	2345.98454
90	120	5217.89151	3623.81387	2829.34337	3181.32053	2691.71123	4247.13925	3462.32847	2437.84192	2959.28558	3058.29263	2152.39392	3869.50836	3149.39829	3339.85377	3478.02064	3385.46022	3223.9547	3242.17729	3076.7748	2323.65557	3047.56146	2773.85562	2540.12883	2547.25407	3108.9998	3681.81887	5326.74665	2494.37367
120	150	3585.1025	3593.95722	3250.25315	4252.26289	3152.50306	4150.95238	3453.83422	3283.00346	3074.12586	3744.08539	3381.62435	6254.28609	3835.31487	5354.96174	4740.33359	4765.00563	4453.9644	4224.33219	3916.63126	3782.38289	4115.91897	3333.6774	3054.83616	2980.35196	3777.89781	3223.41898	3272.58663	4985.25402
150	180	2470.13096	3800.40416	3494.91442	3219.9184	3590.34879	2440.65272	3617.29547	2651.84465	3536.46222	3498.84082	2964.13817	3917.32503	3315.59009	3024.56793	3930.46543	3023.75697	3758.49968	3209.1217	3507.97967	4251.84063	4239.80603	3435.24722	3557.61018	4233.03702	3439.96485	3517.81503	4434.07638	4708.32279
180	240	2738.77305	3206.38278	4431.26707	2936.94288	3323.72021	3026.15205	2651.76323	2939.24414	2975.092	3132.01518	2537.04207	3619.82381	4190.60158	3700.85849	4249.57084	3640.95878	3861.04706	3407.50666	3417.9169	2573.78782	2688.30426	3252.59602	2634.82061	2658.67027	3063.4621	2901.70843	2817.24199	2298.82538
240	300	1729.42753	3269.04567	3441.68332	2783.03552	2774.19522	2742.2916	2936.75168	2973.08597	3021.61544	3174.76159	2326.18277	3563.31414	3065.7191	3559.8441	3444.47725	3342.33814	3264.79617	3347.11579	3066.65668	3790.78815	3378.83315	2970.39297	2403.27468	2874.55418	3244.29169	3256.80449	2918.36364	3433.62526
300	360	1821.98553	2307.06806	3040.21218	2615.38161	2554.67165	2654.03725	2912.82026	3121.36556	2433.63497	3141.863	2468.56737	3583.04898	2945.62528	3200.70726	2927.81154	3234.8268	2926.69271	3194.93136	2893.71382	3123.24274	2883.33545	2634.39526	1896.70676	1919.68443	2593.04849	2631.784	3096.78578	2975.95981
360	480	1898.0754	2419.05594	2809.48887	2806.83818	2778.82978	2894.43604	2634.88595	2742.9496	2459.22879	2712.78741	2497.05793	4132.17007	2749.62476	3445.57042	3112.16063	3238.3833	2989.11134	3092.71569	2740.81969	3097.36584	3094.70188	2637.21327	2396.36534	2484.58328	2769.1661	2670.74583	3108.38825	2888.57523
480	600	2335.74911	2192.87836	2916.1079	2555.00699	2453.1818	2850.90216	2221.98002	2776.23287	2342.80772	3130.84678	2068.33159	3700.35263	2882.14204	3522.61504	2969.71382	3493.14162	2828.30434	3331.83202	2631.33905	2572.97481	2780.85359	2437.80127	2182.18149	2175.51143	2632.60932	2451.36844	2781.60318	2591.60474
600	900	1751.06077	1969.82522	2353.77246	2259.27271	2289.31427	2307.91784	2192.44881	2321.81383	2199.70115	2349.99205	2166.86084	2911.88632	2488.8644	2563.11109	2623.75717	2512.7188	2536.80928	2520.00203	2382.88688	2577.25809	2387.45331	2552.03874	2296.31462	2337.90956	2579.11568	2237.91742	2176.59093	2343.41604
900	1200	1663.92933	2262.88991	2402.90313	2065.86427	1950.117	1863.20215	1984.56261	2072.01029	1973.88936	2022.71598	1905.30225	2477.27453	2596.25743	2296.29144	2509.21596	2186.2787	2390.1492	2114.17462	2287.96538	2174.67302	2164.79487	2279.85016	2346.60999	2363.65307	2225.49391	2275.36561	2207.91599	1991.89193
1200	1500	1324.36017	1940.47847	1880.45381	1575.13395	1606.51659	1448.27215	1592.00132	1641.18207	1490.0694	1821.2529	1490.16846	2399.83173	1976.99843	1829.31351	1821.66223	1872.925	1757.59776	1822.27907	1699.27817	1985.15822	1983.69597	2120.59688	1874.51625	1921.87711	2109.03186	1888.12216	2084.00832	1635.02247
1500	1800	1255.163	1452.44512	1721.59301	1644.51179	1582.57388	1597.171	1439.07073	1626.16484	1520.03572	1586.06218	1648.73665	2316.15841	1782.81732	1962.28706	1782.42112	1863.5545	1764.926	1773.67198	1672.94728	1684.80317	1505.73903	1856.86274	1751.19002	1757.49102	1688.68167	1585.86463	1601.07657	1493.5532
1800	2100	1277.97938	1394.48958	1658.30155	1609.71561	1551.06461	1457.45504	1437.72876	1402.52907	1627.1979	1425.35606	1560.13118	1983.19365	1819.32419	1734.98296	1838.86694	1679.63319	1766.7192	1502.62245	1673.97215	1482.60968	1528.08194	1959.17763	1579.73004	1648.32781	1642.53644	1381.15228	1484.58371	1340.60607
2100	2400	1134.18007	1721.12882	1316.93316	1291.88531	1291.01202	1261.45962	1224.47198	1208.8213	1223.64565	1441.38424	1159.85639	2041.51185	1604.53583	1570.32912	1443.9428	1528.68477	1383.56526	1455.71552	1334.38183	1418.31093	1443.73632	1686.90875	1393.15595	1391.52239	1566.59287	1331.52773	1242.70988	1130.25042
2400	2700	1103.07084	1355.45865	1470.1844	1370.34055	1327.14045	1221.85016	1354.74645	1118.95273	1289.91608	1363.3494	1354.74442	1777.42384	1633.59618	1602.65912	1506.76007	1558.0398	1480.89095	1410.55273	1433.24925	1422.84129	1181.41865	1335.66338	1607.96696	1626.74603	1204.21549	1297.61559	1382.93743	1114.84916
2700	3000	977.0585	1536.8686	1326.78407	1101.97771	1172.9646	1187.22569	1060.41438	1230.36759	1098.75692	1220.17829	1101.53345	1500.58628	1439.99392	1203.71811	1340.87173	1230.5522	1279.58678	1236.02758	1211.18602	1117.79499	1260.8784	1543.41726	1659.57234	1653.13057	1543.029	1387.46268	1339.92816	1073.07837
3000	3300	991.33276	1173.80934	1513.69613	1134.15303	1246.66872	981.27022	1179.74346	1078.86184	1223.2448	1159.5388	1145.49382	1414.67252	1444.35226	1202.05649	1499.87073	1176.90771	1429.91242	1147.10665	1329.22047	1210.82664	1247.58127	1338.38843	1349.85585	1283.26605	1181.30425	1152.9178	1235.93838	1162.5906
3300	3600	892.75734	1393.0669	1333.46724	1124.75352	1084.14633	1104.26935	1139.32761	1057.36907	1128.87831	1060.41759	978.74994	1432.58674	1234.70696	1259.61745	1267.79604	1214.03241	1205.37958	1107.1277	1132.32684	1053.54852	1050.42903	1354.27262	1236.18953	1421.51552	1551.61676	1286.69477	997.67547	998.78629
3600	3900	826.29813	1087.36947	1250.99221	1210.00849	1209.24988	1044.48664	1047.49635	1061.80257	1230.95412	1090.19542	1180.59999	1528.25149	1393.70715	1314.37519	1500.10725	1231.19403	1441.14635	1183.15428	1308.37438	1101.85802	910.31414	1123.96654	1489.79191	1494.86258	1069.96148	1211.13745	1142.08474	1065.9651
3900	4200	826.30618	985.15438	1303.44254	1147.66939	1112.35377	991.36553	1047.09737	1001.53834	1152.42135	1103.20572	1131.86285	1297.91023	1335.99304	1173.0241	1293.33644	1154.12262	1270.45791	1082.37288	1247.01139	1017.82778	1077.79569	1203.66562	1160.57105	1180.08432	1071.77905	1097.12492	1099.49445	1020.32648
4200	4500	770.20216	1433.82005	1262.61987	1120.84336	1102.31655	860.86076	1067.37079	866.64841	1040.77687	1042.31343	1343.72269	1303.70979	1209.11781	1063.19698	1184.80472	1061.10671	1207.75305	1002.01637	1222.39614	1090.69815	1068.68134	1265.12066	1122.32078	1206.12363	1284.41644	1201.14991	815.91853	911.64733
4500	4800	939.30385	1188.35082	1049.22247	1075.30041	1140.03404	1072.6984	960.01274	1126.44582	937.18734	1112.05818	1187.02796	1181.04818	1152.56588	1159.32705	1136.57309	1149.13073	1120.90078	1125.59444	1136.78252	941.95363	1065.28723	1313.61062	1075.40933	1119.37004	1165.35503	1085.2496	938.02369	1024.09599
4800	5100	858.999	1267.76846	1198.72752	1145.39056	951.41478	1176.9256	975.90369	990.18952	1055.44111	1021.67729	1116.24489	1442.96277	1349.28212	1253.65787	1299.08563	1247.89181	1247.00307	1089.39014	1178.6952	944.31641	842.5861	1197.83468	1255.29212	1217.86893	1062.95902	1184.71998	993.84474	712.33559
5100	5400	951.38164	1153.55971	1134.50097	1045.95371	959.22894	1084.28766	994.08879	851.4487	940.89636	975.39296	1035.86302	1291.80315	1208.80444	1007.83288	1091.81736	1033.97785	1074.74164	967.7827	1084.03745	917.31569	1019.97571	1329.42666	1159.77646	1087.65614	1128.25702	898.54004	709.00702	1086.86918
5400	5700	733.00284	1278.66807	1117.19446	1018.85604	1039.41726	748.19129	871.38098	715.66059	895.95034	1039.20761	1184.66473	1335.43887	1317.64607	1057.33908	1290.43331	1063.88568	1221.0601	974.37257	1134.79408	894.48369	935.26128	1290.13997	1122.01673	1128.92372	1058.61736	963.48226	804.89112	861.2725
5700	6000	644.09217	938.74909	1079.92184	924.48209	902.22814	632.93656	944.40071	766.02831	1029.17546	888.60485	1003.50685	1132.09084	1323.36772	812.45331	1317.37057	802.71284	1255.44385	827.80696	1144.32467	795.59685	948.57861	921.95623	929.99892	931.10163	1161.79218	1080.93724	779.32775	734.09624
6000	6300	676.77628	1036.9693	1009.90407	953.04559	922.90806	755.19958	1042.18671	954.24746	899.14699	797.50949	919.21858	1085.48248	1056.6084	898.86398	997.37849	886.19263	993.17462	832.47736	981.25557	804.16636	1024.53797	1204.71662	1064.3395	1128.61761	1383.11571	916.0347	927.13917	720.68706
6300	6600	1012.52037	991.23982	1092.52166	992.24191	915.84779	852.80325	769.96438	655.13215	1025.38002	841.99523	995.83152	985.6566	1198.22777	810.40023	1232.36945	820.22157	1169.8292	777.92137	1103.0664	695.15431	927.08996	1206.43852	1298.69915	1289.62154	1170.44679	1124.06007	1137.80563	694.564
6600	6900	893.53753	1122.2983	1019.33757	1023.32723	1147.59637	881.39628	1033.02502	836.72814	1146.87097	889.74552	892.21026	1171.5312	1104.30263	1096.73724	1267.00368	1056.92749	1210.0624	962.45832	1131.02964	655.41591	639.34835	1069.6137	982.97835	991.55832	840.91392	804.97771	990.58364	573.51323
6900	7200	670.00436	998.27757	1007.07121	845.8718	790.7955	880.08119	1057.89589	917.31234	908.77613	996.45648	754.93981	1123.42648	939.17849	1017.63234	928.88966	1043.63039	901.97551	993.04652	882.99347	849.67977	835.93183	1027.12921	909.65214	927.92254	902.64678	845.33634	743.30934	844.9567
