index	name	volume-mm3
203	parasubiculum	59.0
211	HATA	52.0
212	fimbria	51.0
215	hippocampal_fissure	88.0
226	HP_tail	528.0
233	presubiculum-head	140.0
234	presubiculum-body	163.0
235	subiculum-head	196.0
236	subiculum-body	216.0
237	CA1-head	548.0
238	CA1-body	117.0
239	CA3-head	104.0
240	CA3-body	97.0
241	CA4-head	129.0
242	CA4-body	120.0
243	GC-ML-DG-head	151.0
244	GC-ML-DG-body	117.0
245	molecular_layer_HP-head	324.0
246	molecular_layer_HP-body	189.0
7001	Lateral-nucleus	656.0
7003	Basal-nucleus	464.0
7005	Central-nucleus	46.0
7006	Medial-nucleus	8.0
7007	Cortical-nucleus	25.0
7008	Accessory-Basal-nucleus	276.0
7009	Corticoamygdaloid-transitio	154.0
7010	Anterior-amygdaloid-area-AAA	23.0
7015	Paralaminar-nucleus	33.0
