frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	1208.43074	177.03551	366.74853	571.64165	206.73545	529.70032	711.2016	214.46777	356.13431	457.29779	235.6235	306.54192	222.21541	290.93828	309.35083	340.61521	353.45014	415.74567	348.74459	132.3064	288.67635	146.67697	240.75066	186.37613	159.48013	331.70032	479.21479	505.15986
30	60	1753.82874	884.01431	882.58411	1261.20415	798.72118	1339.95862	1411.63131	705.79797	885.76159	860.18731	683.09702	1132.5034	901.07403	894.67352	897.62521	1044.41796	911.19779	846.60312	893.71347	565.91537	1023.36799	1117.98745	1054.43029	1159.44243	1149.7094	1134.22319	2015.46566	1107.76696
60	90	3230.29092	946.64491	1489.2518	2528.39859	1588.46021	2394.95452	2094.61161	1456.83653	1247.1793	1561.04892	989.49309	2680.92181	1356.938	2307.58096	1342.42162	2170.08156	1354.74501	1930.32939	1328.40097	1232.55178	1774.33597	1332.31841	1141.06307	1167.33559	1371.05299	1554.52915	2410.51923	1754.1879
90	120	3310.07829	2605.40553	2767.99367	2519.92399	2615.10603	2398.71422	3505.30246	1442.88906	2496.00052	2077.24729	2221.76429	2965.44619	2579.8227	2390.21348	2663.83995	2327.94253	2664.97079	2090.66518	2677.78588	1490.77473	2159.90448	2570.81046	2123.19047	2024.41432	2109.63735	2387.29185	2541.44774	2246.90245
120	150	3262.88672	2103.45402	2549.05142	3041.36012	2501.03	3016.18724	3022.80778	2540.48967	2244.51803	2299.30797	1939.76047	3378.54715	2638.64613	3238.59559	2740.09701	3078.45882	2586.34058	2751.5754	2425.09322	1646.15399	2237.77453	2266.25075	2606.07402	2608.15334	2220.63967	2643.43206	2081.64244	2133.75155
150	180	3133.13882	2573.74766	2344.69787	2376.72605	2039.90655	2667.70473	2527.92203	2299.72804	1924.88421	2360.85339	1761.82152	3192.04366	2093.80585	2537.50254	2072.16116	2586.43677	2081.99316	2502.80587	2088.67738	1737.36952	2281.33788	3098.94228	2540.84474	2529.44905	2633.69346	2012.02126	2389.64762	2376.24774
180	240	2658.70711	1736.38162	2590.98374	2496.57204	2565.69749	2784.16612	2523.2299	2385.57523	2284.52605	2283.11789	2226.73962	2770.91911	2586.52007	2905.60943	2505.80782	2782.98971	2509.94628	2558.91703	2501.52434	1862.56833	2308.85187	2230.32005	2273.45092	1896.29534	2234.53722	2023.56265	2462.98586	2336.5829
240	300	2281.6115	1846.75103	2521.63211	2215.77211	2446.414	2102.66161	2067.34794	1996.33076	2076.98862	2046.7738	2143.76638	2385.7337	2465.75554	2153.59153	2505.88619	2123.10472	2409.93262	2164.07895	2312.92862	2084.27841	2102.77833	2256.58462	2473.29217	2316.58237	2064.84083	2139.22687	2714.02811	2072.29257
300	360	2414.19936	2489.93439	2856.89724	2678.00824	2478.53807	2127.34035	2432.9172	1879.09151	2395.74613	2143.76937	2056.34735	3247.17581	2589.36821	2398.88815	2835.96915	2309.55857	2740.61341	2156.66331	2535.16799	1887.18715	2265.36624	2109.11904	2205.46786	2289.90172	2280.82971	2221.0255	2615.77747	2304.23026
360	480	2018.46713	1993.58617	2272.29265	2337.04331	2407.1543	1863.21161	2327.97256	1984.92621	2057.40334	2073.03398	2001.65291	2759.83978	2265.19245	2407.12226	2220.74574	2355.13509	2205.63843	2150.49903	2197.01487	1982.49885	2261.82001	2685.25335	2549.14042	2573.68065	2525.7854	2120.15014	2339.5396	2113.41536
