index	name	volume-mm3
203	parasubiculum	51.0
211	HATA	73.0
212	fimbria	94.0
215	hippocampal_fissure	30.0
226	HP_tail	702.0
233	presubiculum-head	139.0
234	presubiculum-body	140.0
235	subiculum-head	198.0
236	subiculum-body	258.0
237	CA1-head	592.0
238	CA1-body	129.0
239	CA3-head	113.0
240	CA3-body	113.0
241	CA4-head	137.0
242	CA4-body	139.0
243	GC-ML-DG-head	162.0
244	GC-ML-DG-body	143.0
245	molecular_layer_HP-head	329.0
246	molecular_layer_HP-body	235.0
7001	Lateral-nucleus	697.0
7003	Basal-nucleus	514.0
7005	Central-nucleus	61.0
7006	Medial-nucleus	12.0
7007	Cortical-nucleus	27.0
7008	Accessory-Basal-nucleus	289.0
7009	Corticoamygdaloid-transitio	183.0
7015	Paralaminar-nucleus	46.0
