frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	1631.69851	152.37886	245.37035	642.42479	129.72003	654.82626	609.96603	182.25797	263.94411	534.17071	313.25469	333.93563	271.19296	227.46594	348.60389	318.25137	360.86626	455.71613	344.38851	153.58303	401.96548	71.85151	179.26769	97.36559	179.69155	361.47346	479.21479	726.73711
30	60	1724.14488	919.97005	800.00799	1148.98695	674.92903	1136.73636	1218.21425	502.36246	1122.38247	854.54485	734.78044	1292.19817	1046.02642	943.25759	1098.56958	973.81913	1052.15042	800.96111	982.05075	525.98832	934.6208	956.49586	917.17257	606.28857	789.31396	901.35989	2015.46566	1085.31185
60	90	3081.26399	1036.18272	1496.61358	2059.04764	1421.35891	2397.45719	1795.65164	1458.50942	1133.00348	1411.29088	1006.08577	2694.00106	1338.03303	1795.22833	1420.61221	1805.7383	1386.25262	1760.38439	1324.96585	986.82401	1561.42068	1516.25344	1025.56089	1159.09988	1138.98354	1362.99013	2410.51923	1665.33922
90	120	2106.41481	2263.63322	2767.43072	2343.79262	2384.10647	1920.46219	3741.55434	1470.94997	2754.27766	1716.27804	1986.86781	2801.48421	2291.09846	2349.5896	2768.07645	2117.56358	2740.08463	1821.45756	2620.56869	1520.25291	1870.49723	2004.66328	1750.52004	1476.71474	1711.02614	2282.79769	2541.44774	2209.14776
120	150	3125.76225	2024.39148	2600.29073	2976.72403	2555.96794	2981.2145	3236.2531	2686.74643	2154.41334	2412.39236	1976.31956	3093.7203	2682.26063	3027.01123	2931.51481	2917.70002	2753.21542	2741.79347	2511.53075	1699.9198	2053.09768	1473.41992	1561.99369	1502.80704	1695.52777	2377.7836	2081.64244	2368.72446
150	180	3270.73851	1975.61698	2481.61873	2032.86357	1994.99359	2796.16609	2720.64864	2315.79037	1713.57422	2375.53719	1585.02391	2566.4182	2295.84336	2366.16934	2129.15825	2407.87192	2129.13268	2547.27255	2132.86224	1321.22432	2222.4565	3618.10845	3048.81827	3129.96408	2695.09122	1796.45915	2389.64762	2608.39424
180	240	2705.85771	1725.51557	2457.08769	2670.6359	2611.5482	2783.74599	2625.25132	2311.37486	2133.90468	2437.15979	2405.31973	3150.39425	2828.69896	3146.99473	2515.16233	2945.4898	2537.66087	2682.97931	2616.85068	1946.4465	2702.13086	2676.0011	2538.48954	1936.66779	2353.73955	1992.75949	2462.98586	2552.73167
240	300	2097.2296	1877.55275	2228.18424	2311.97238	2536.48799	2047.73838	1795.25645	2070.72893	1996.40221	2187.46833	2185.59849	2476.23994	2344.47906	2393.48723	2274.40713	2302.77119	2228.18336	2278.99047	2157.15982	2158.95194	2153.5358	2340.19841	2424.99535	1946.14642	2040.34047	2061.50817	2714.02811	2065.40196
300	360	2572.21671	2696.37966	2404.51765	2732.31467	2385.25075	2078.52062	2440.4426	1582.24265	2299.54209	2092.63137	1919.45593	3461.5805	2216.83307	2300.96913	2631.6408	2226.83715	2561.43743	2042.29433	2347.98039	1760.31584	2129.46237	2186.95801	1928.28723	1929.94441	2297.19983	2101.64655	2615.77747	1984.08652
360	480	1968.1058	1812.66416	2198.99734	2429.11044	2165.58965	1816.25095	2176.94627	2015.23312	1975.20511	2130.40244	2092.52675	2907.87482	2239.10201	2491.03875	2221.2696	2390.62026	2188.69853	2216.76344	2181.06857	1959.31578	2163.3584	2485.07656	2448.39355	2215.42499	2220.64978	1952.40984	2339.5396	2185.39297
480	600	2217.26939	1881.88865	2344.23685	2168.66035	1810.61111	2080.19257	2091.03976	1934.80541	2006.71715	2211.74264	2029.51803	2757.20306	2418.42176	2471.32741	2511.95288	2370.71365	2393.07579	2343.58885	2318.61629	1777.63356	2003.37857	2369.48523	2276.19785	2356.70842	2172.983	1903.48086	2030.35301	1965.97534
600	900	1986.44289	1780.66666	2085.24846	2168.26598	1932.78876	2132.99886	2104.51509	1969.83065	2005.10838	1925.1193	1898.58613	2580.33991	2071.65784	2502.34674	2189.60239	2337.3658	2128.60892	2176.36361	2093.66233	1981.74377	2118.72729	2303.07469	2213.16204	2089.68597	2031.69588	1874.89602	2017.53256	2049.60374
900	1200	1815.82122	2087.93868	1999.24494	1959.38912	1859.43645	1805.31722	1966.75911	1765.70954	1784.24712	1748.87683	1718.5787	2349.04747	2111.93892	1916.43079	2124.18543	1852.94866	2038.03979	1864.17838	1974.59004	1680.90076	1784.24203	2211.28155	2205.41466	2292.13045	2103.91634	1948.14306	2015.93965	1596.62627
1200	1500	1587.74381	1550.51533	1805.3672	1824.55913	1594.07576	1676.15437	1876.23089	1879.49328	1698.52107	1739.45314	1541.91559	2029.93639	1812.41216	1909.8102	1817.03316	1871.36084	1781.25115	1880.04705	1790.42625	1637.18817	1803.66812	2080.57696	1825.62769	1814.89658	2127.34594	1903.37615	1852.67096	1670.26476
1500	1800	1642.17086	1570.49307	1780.29299	1676.69647	1501.76043	1618.38906	1664.61617	1587.52869	1493.95635	1629.75827	1402.75383	2074.67981	1665.66849	1853.35509	1697.61171	1755.77662	1653.78842	1717.06445	1602.1177	1542.13832	1762.18287	1621.1872	1787.78722	1850.83457	1902.01753	1854.01758	1608.32068	1611.40418
1800	2100	1367.04364	1685.70403	1679.66647	1581.31685	1429.3012	1489.4889	1716.57803	1569.21976	1508.43448	1519.35898	1392.57364	1903.28841	1597.65881	1869.1506	1624.57011	1740.68769	1587.74177	1637.74006	1563.92494	1497.52678	1757.76151	2255.0896	2007.54563	1942.19807	1884.44551	1789.12147	1914.09437	1583.51343
2100	2400	1725.03913	1698.87374	1682.73214	1557.93622	1437.3243	1628.08847	1641.23172	1372.20049	1454.65342	1483.05634	1605.53095	1890.74787	1778.19372	1649.7354	1762.43231	1598.70034	1713.66401	1590.55846	1708.784	1424.72798	1402.22851	1911.06722	1621.25095	1903.02177	1850.42082	1679.91341	1512.11677	1253.34608
2400	2700	1199.94314	1532.42462	1504.5681	1434.0475	1265.74077	1346.17592	1361.9752	1408.7218	1336.53994	1424.19602	1482.21126	1767.53166	1561.39125	1778.90255	1514.80885	1623.44819	1501.42487	1536.43659	1501.70117	1281.47876	1603.88382	1641.42576	1596.43944	1573.56066	1799.3167	1648.36745	1583.25999	1411.75613
2700	3000	1439.50084	1260.37653	1448.03878	1441.28426	1344.34951	1396.41263	1245.40718	1365.96184	1184.26826	1354.47852	1295.2773	1770.23569	1602.3695	1519.43305	1555.94867	1480.00067	1472.25859	1453.43504	1407.90267	1279.86716	1591.76525	1689.83726	1472.02133	1330.4439	1571.40144	1359.70167	1596.80286	1442.39761
3000	3300	1614.29875	1363.94374	1232.52043	1459.40722	1350.62754	1417.19702	1239.1913	1167.18022	1206.35958	1209.05752	1229.52047	1554.20626	1297.87568	1297.66789	1338.74465	1263.07341	1288.85393	1269.0619	1266.90467	1251.30036	1524.2917	1748.20084	1770.76289	1849.22339	1859.27009	1732.41781	1352.08094	1324.13346
