index	name	volume-mm3
203	parasubiculum	91.0
211	HATA	117.0
212	fimbria	142.0
215	hippocampal_fissure	234.0
226	HP_tail	1166.0
233	presubiculum-head	244.0
234	presubiculum-body	233.0
235	subiculum-head	366.0
236	subiculum-body	524.0
237	CA1-head	1242.0
238	CA1-body	316.0
239	CA3-head	248.0
240	CA3-body	200.0
241	CA4-head	286.0
242	CA4-body	235.0
243	GC-ML-DG-head	340.0
244	GC-ML-DG-body	246.0
245	molecular_layer_HP-head	633.0
246	molecular_layer_HP-body	476.0
7001	Lateral-nucleus	1251.0
7003	Basal-nucleus	844.0
7005	Central-nucleus	73.0
7006	Medial-nucleus	10.0
7007	Cortical-nucleus	46.0
7008	Accessory-Basal-nucleus	498.0
7009	Corticoamygdaloid-transitio	317.0
7010	Anterior-amygdaloid-area-AAA	68.0
7015	Paralaminar-nucleus	67.0
