index	name	volume-mm3
203	parasubiculum	48.0
211	HATA	62.0
212	fimbria	72.0
215	hippocampal_fissure	118.0
226	HP_tail	571.0
233	presubiculum-head	116.0
234	presubiculum-body	121.0
235	subiculum-head	172.0
236	subiculum-body	255.0
237	CA1-head	622.0
238	CA1-body	156.0
239	CA3-head	127.0
240	CA3-body	82.0
241	CA4-head	144.0
242	CA4-body	114.0
243	GC-ML-DG-head	182.0
244	GC-ML-DG-body	115.0
245	molecular_layer_HP-head	300.0
246	molecular_layer_HP-body	244.0
7001	Lateral-nucleus	617.0
7003	Basal-nucleus	424.0
7005	Central-nucleus	36.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	23.0
7008	Accessory-Basal-nucleus	252.0
7009	Corticoamygdaloid-transitio	159.0
7010	Anterior-amygdaloid-area-AAA	36.0
7015	Paralaminar-nucleus	31.0
