frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	4.09348	0.23889	0.39045	0.35175	0.71488	0.9985	2.14682	0.09628	1.71006	0.81616	8.61268	0.22641	0.17019	0.19211	0.12261	0.35603	0.33402	0.15489	1.25986	42.67878	8.4548	0.42476	0.0101	0.01029	0.49902	0.36866	8.82077	0.41416
30	60	739.99969	925.34367	754.82664	906.62666	387.37014	800.65333	718.48911	1300.31895	472.17317	779.13164	317.47291	1264.48191	407.42598	1204.06507	443.93911	1101.96607	468.66988	1095.45798	448.18205	158.95853	391.8569	551.76794	764.09791	652.44018	710.96568	895.96025	597.26256	398.33384
60	90	2172.11667	2648.07429	2580.68858	1865.63003	1981.93957	1881.40766	2390.54677	1275.15298	1971.08925	1402.43505	1519.00737	2066.69208	2266.45384	1761.93251	2283.87799	1785.34336	2258.95431	1466.52219	2123.87488	881.76692	1268.22832	2135.08559	2801.58369	2473.80752	2050.8373	2091.82232	2773.29988	1314.6962
90	120	2903.71807	3683.00063	3261.67084	2625.38319	3514.5568	2499.25757	3153.85851	1942.22209	3393.84629	2558.45368	2327.14391	3604.67098	3063.71752	2468.67887	3341.00741	2733.91005	3217.93905	2352.48724	3041.37597	2015.56329	2172.83768	2593.24901	3168.46216	2773.31959	2363.41638	2648.4675	3728.28112	2163.12619
120	150	4102.94046	3746.27374	4625.73458	4069.79121	4355.53243	3945.31679	4135.7027	3491.01054	3237.59971	3396.39368	2796.20302	4133.07178	4235.07593	3557.09355	3893.74017	3768.10965	3798.86128	3766.68821	3627.14297	1897.23786	2321.67844	2860.68431	3152.39873	3049.84257	2603.66988	3262.67401	2948.21458	2775.04215
150	180	3990.04623	4106.47617	4401.52936	3673.39252	4278.66261	4168.58531	4190.23106	3713.86793	3046.00492	3465.45876	2360.03238	3998.25869	3229.6138	3644.82092	3328.35232	3601.67374	3324.88605	3713.99111	3015.82086	4087.94532	3497.67887	3292.48354	3715.80376	3817.28111	3509.21283	3688.34349	3445.07669	4346.48523
180	240	3898.45672	3597.28377	3711.01238	3917.58952	3576.92256	4256.78456	3421.51901	3614.08403	3777.35314	3497.4494	3585.85574	4250.60465	4177.80369	4026.6189	3875.81444	4066.6974	3883.85877	3954.09835	3844.93552	3512.48542	3480.71344	4005.04909	3547.07954	4464.48854	4106.25023	3591.29352	4535.11333	3541.25452
240	300	2884.85701	3475.76545	4141.76518	3148.70302	4041.80031	2968.53804	3691.46671	3109.8427	3826.5903	2885.33136	3319.00258	4145.27961	4148.33525	3296.76488	4158.48507	3181.68311	4040.84397	2989.45004	3859.89669	2779.73852	3466.99518	4310.17721	3390.45137	3423.84996	3951.85628	3639.86934	3982.76319	2841.93395
300	360	3048.41171	2631.19537	4326.58743	3514.3576	3925.26689	3494.96107	3650.98895	3159.22782	3811.72519	2886.25463	2971.49093	3984.07543	3940.76984	4222.62801	4083.34111	3922.24115	4013.67973	3408.52568	3700.9674	2691.81164	2907.30533	2749.86789	2537.70596	2458.73192	2691.22085	2799.44983	2527.59306	3084.75205
360	480	3017.34594	2761.14681	3755.55125	3398.51391	3650.95756	3324.64198	3499.89284	3393.33785	3098.47977	2931.45296	2672.44054	3515.01559	3432.00076	3362.66272	3230.92881	3223.07586	3204.24899	3170.46863	3027.96368	3155.388	3504.16917	2868.09345	3129.27554	2974.95913	2726.91799	2750.92009	3497.47319	3772.97609
480	600	3230.16237	2934.02844	3279.11951	3257.48387	3655.69124	3364.51921	2995.67212	2945.68245	3151.86417	2933.69974	2694.67938	4014.2487	3227.56866	3449.2582	3262.1281	3355.63081	3176.54954	3266.57965	3044.23383	3047.56389	3309.51384	3824.37045	4092.47441	3610.24402	3353.45651	3024.90831	3591.90781	2894.4407
600	900	2823.81948	2698.10619	3421.5442	3182.58005	3400.23983	3142.83097	2943.22602	2793.53927	2927.57853	2826.41267	2682.83726	3847.65159	3596.80651	3506.52466	3507.22575	3320.6633	3331.43597	3124.52664	3152.51644	2952.47344	3498.75927	3233.54805	2927.2499	2996.97087	3203.89664	2987.58267	3782.80066	3151.27403
900	1200	2401.84119	2890.61314	3217.65228	2905.78904	2781.02372	2747.3538	2891.91682	2763.08323	2850.60743	2594.69832	2616.55182	3167.31065	3267.09808	2736.54281	3294.56327	2737.93995	3167.17277	2785.64383	3030.31646	2787.56029	3017.12411	2794.94533	3161.10483	3106.16958	2817.77939	2584.09505	2829.15079	3004.71007
1200	1500	2555.48646	2865.67903	3037.15912	2849.96695	2681.08354	2756.54197	2679.01799	2636.20479	2508.93328	2662.94926	2149.37315	3162.17569	2804.42781	2930.46758	2855.59016	2874.76052	2752.59137	2794.69706	2570.9742	2533.72198	2506.0006	2880.34225	2703.5021	3121.42885	2961.13913	2775.2939	2385.36238	2630.72356
1500	1800	2229.12174	2412.08159	2762.78675	2487.84549	2239.21239	2509.32038	2266.55492	2456.03843	2053.93027	2190.31566	1937.00614	2953.05198	2630.49117	2910.38466	2486.63481	2718.74456	2396.25562	2542.55847	2260.49091	2262.75475	2297.68491	2772.63488	3019.88521	3070.81546	2574.10074	2361.77661	2533.85669	2238.25095
1800	2100	1943.61187	1924.55324	2445.54473	2307.49928	2225.72583	2138.12152	2112.08102	2127.29407	2146.22005	2084.61095	2022.7455	2593.16822	2377.17261	2437.73361	2394.53477	2373.36438	2338.45465	2300.53495	2242.60466	2156.26514	2126.80025	2136.62195	2101.88259	2232.12882	2038.97044	1978.48343	1996.04952	2319.41469
2100	2400	1935.28672	1777.49749	2245.09601	2135.3265	2131.1341	2182.21761	2083.20114	2093.53592	2053.4397	1931.37102	1854.68788	2211.35077	2284.104	2238.79828	2195.19174	2236.84018	2134.45508	2125.33689	2096.45858	2041.48653	1975.17004	2290.6078	2247.63276	2223.58646	2230.1755	1829.4555	1779.75325	1858.62063
2400	2700	1721.63717	1903.39334	2151.81903	1995.05708	1724.07589	1943.68333	1960.9056	1953.24922	1968.14169	1770.78692	1828.00593	2413.87426	2286.94353	1964.62581	2224.63196	1950.04319	2147.9131	1911.3565	2088.4599	2008.70207	1648.52243	2361.32319	2642.82002	2653.30793	1988.08595	1809.26898	1792.11334	1593.88476
