index	name	volume-mm3
8103	Left-AV	108.0
8104	Left-CeM	67.0
8105	Left-CL	3.0
8106	Left-CM	313.0
8108	Left-LD	8.0
8109	Left-LGN	216.0
8110	Left-LP	124.0
8111	Left-L-Sg	25.0
8112	Left-MDl	279.0
8113	Left-MDm	727.0
8115	Left-MGN	115.0
8116	Left-MV(Re)	10.0
8118	Left-Pf	51.0
8120	Left-PuA	198.0
8121	Left-PuI	162.0
8122	Left-PuL	131.0
8123	Left-PuM	1042.0
8126	Left-VA	369.0
8127	Left-VAmc	7.0
8128	Left-VLa	570.0
8129	Left-VLp	947.0
8130	Left-VM	9.0
8133	Left-VPL	1213.0
8203	Right-AV	126.0
8204	Right-CeM	81.0
8205	Right-CL	4.0
8206	Right-CM	337.0
8208	Right-LD	9.0
8209	Right-LGN	326.0
8210	Right-LP	138.0
8211	Right-L-Sg	18.0
8212	Right-MDl	275.0
8213	Right-MDm	792.0
8215	Right-MGN	135.0
8216	Right-MV(Re)	15.0
8218	Right-Pf	65.0
8220	Right-PuA	228.0
8221	Right-PuI	231.0
8222	Right-PuL	145.0
8223	Right-PuM	1270.0
8226	Right-VA	384.0
8227	Right-VAmc	5.0
8228	Right-VLa	614.0
8229	Right-VLp	912.0
8230	Right-VM	8.0
8233	Right-VPL	1293.0
