index	name	volume-mm3
203	parasubiculum	121.0
211	HATA	125.0
212	fimbria	120.0
215	hippocampal_fissure	244.0
226	HP_tail	1173.0
233	presubiculum-head	294.0
234	presubiculum-body	295.0
235	subiculum-head	393.0
236	subiculum-body	428.0
237	CA1-head	1086.0
238	CA1-body	240.0
239	CA3-head	204.0
240	CA3-body	207.0
241	CA4-head	269.0
242	CA4-body	269.0
243	GC-ML-DG-head	297.0
244	GC-ML-DG-body	265.0
245	molecular_layer_HP-head	642.0
246	molecular_layer_HP-body	387.0
7001	Lateral-nucleus	1324.0
7003	Basal-nucleus	913.0
7005	Central-nucleus	102.0
7006	Medial-nucleus	21.0
7007	Cortical-nucleus	52.0
7008	Accessory-Basal-nucleus	555.0
7009	Corticoamygdaloid-transitio	329.0
7010	Anterior-amygdaloid-area-AAA	54.0
7015	Paralaminar-nucleus	70.0
