index	name	volume-mm3
203	parasubiculum	54.0
211	HATA	66.0
212	fimbria	83.0
215	hippocampal_fissure	108.0
226	HP_tail	606.0
233	presubiculum-head	160.0
234	presubiculum-body	173.0
235	subiculum-head	235.0
236	subiculum-body	246.0
237	CA1-head	673.0
238	CA1-body	119.0
239	CA3-head	102.0
240	CA3-body	89.0
241	CA4-head	141.0
242	CA4-body	121.0
243	GC-ML-DG-head	173.0
244	GC-ML-DG-body	148.0
245	molecular_layer_HP-head	349.0
246	molecular_layer_HP-body	222.0
7001	Lateral-nucleus	754.0
7003	Basal-nucleus	543.0
7005	Central-nucleus	31.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	30.0
7008	Accessory-Basal-nucleus	296.0
7009	Corticoamygdaloid-transitio	218.0
7010	Anterior-amygdaloid-area-AAA	35.0
7015	Paralaminar-nucleus	38.0
