frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	24.12558	15.92947	37.45998	89.89906	10.29061	19.47205	107.20955	16.60071	86.57213	14.42088	49.62921	9.69311	15.29987	19.9063	44.04491	22.93994	63.45448	12.48355	60.59918	68.75984	155.83801	71.21637	107.88039	124.1492	147.56083	146.29061	115.51717	78.08202
30	60	652.71644	429.77748	1109.99876	1223.6035	1004.23345	749.11071	958.60405	578.28749	742.61129	812.74604	978.89877	1472.16987	913.51701	1519.9671	904.50802	1342.97163	979.17928	947.61237	1004.73605	1049.99106	963.27778	747.75749	554.06446	430.77857	694.54064	544.62226	2113.69853	727.89586
60	90	1607.57605	1439.34776	2652.2418	1793.84705	2135.70556	1061.80614	1957.24399	840.23754	1518.77105	1360.87335	1802.04255	1727.23755	2651.10671	1239.86868	2096.75098	1292.60496	2136.04865	1175.48241	2141.39438	1643.16259	1650.70065	1551.10773	1499.51675	1620.70251	1644.27892	1874.43871	3733.43697	850.10077
90	120	3259.57378	2088.01993	2768.04348	3148.04795	2730.69964	2311.85762	2861.42146	2131.15854	2365.59229	2023.56547	3427.36978	3393.05042	4419.55453	2473.91329	4017.62856	2325.87757	3660.74442	2390.30516	3805.04564	1642.89616	1853.66403	1769.11733	2091.70512	1990.21675	1682.18478	2882.21214	3729.52363	1614.84579
120	150	2990.52386	2548.06153	4474.65694	3637.43422	2934.19526	2513.6414	3122.14248	2453.74673	2907.54102	2437.0522	5126.71545	3351.33008	5777.36424	2974.10896	5184.68549	2779.84222	4925.60444	2621.76787	4962.18936	1700.2507	2416.87434	2011.94563	2811.5245	2777.05836	2510.50004	2567.1972	3472.34748	2300.46351
150	180	2362.49953	2501.12369	3479.40725	3088.66207	3423.08373	2219.08376	2859.46932	2142.73815	2513.89135	2371.17795	4475.97142	3250.49089	4931.39386	2940.67266	4252.18402	2748.41457	3905.32179	2477.88413	3914.34078	2227.09226	2452.51823	2815.81232	2154.1971	2023.04708	2661.98901	2190.49285	2993.34284	1933.67271
180	240	1960.91592	2735.82273	3328.28128	2534.08692	2296.99639	2381.19839	2433.98396	2404.18085	2771.00045	2713.17831	4115.75613	2550.28777	3980.77985	2207.51525	3530.69838	2401.87041	3481.39793	2638.12269	3599.00163	2263.98461	2732.28568	2668.22177	2354.83073	2449.1851	2763.74461	2656.74605	2948.78904	2554.71
240	300	2425.67716	2798.06154	2833.88397	2628.31439	3009.14011	2665.69521	2725.54303	2419.72541	2477.76548	2470.66466	3512.73665	2733.67025	4121.55645	2419.09524	3505.46645	2401.84857	3289.77279	2616.4432	3349.26777	2305.76914	2887.73748	2706.70807	2752.84574	2760.72235	2880.17699	2838.41077	3082.3661	2713.25213
300	360	1702.77438	2116.21895	3458.19705	2776.41214	3363.34472	1891.47571	2355.29646	2835.5822	2828.33288	2381.60323	4065.47133	3393.75904	4157.58322	3077.39464	3822.4121	2821.01746	3600.47477	2691.78416	3578.46624	2048.30233	2299.88718	2600.42298	2443.65767	2336.98304	2535.23398	2382.26084	3052.60779	1932.23602
360	480	2090.10103	2100.01729	3132.53146	2602.88517	2481.02694	2331.1004	2251.16402	2652.22869	2575.73227	2509.66183	3751.72705	2841.81901	3951.80695	2627.15211	3601.50253	2502.10329	3348.31354	2641.13895	3388.38373	2194.97092	2397.25016	2401.14953	2290.98969	2629.7968	2629.29541	2586.73979	2626.64831	2269.733
480	600	2176.42599	2522.92207	3096.31001	2685.2767	2552.83389	2503.20432	2242.50831	2170.20578	2534.82664	2537.93575	3594.50719	2911.60315	3474.92899	2647.03835	3429.65744	2551.1465	3254.88949	2565.97535	3220.25144	1979.41233	2459.0533	2555.40341	2406.22701	2678.901	2932.61046	2574.01324	2063.76039	2332.10038
600	900	1812.50864	2070.62412	2342.02647	2202.63674	2399.6081	2113.28944	1938.92018	2032.65623	2120.00323	2057.57459	3023.79112	2639.31745	2734.99924	2504.63354	2472.5015	2397.05365	2401.50505	2256.97601	2467.48718	2013.6224	2442.95802	2535.50124	2346.46305	2364.62362	2379.01931	2143.10832	2696.22915	2245.91818
900	1200	1560.06604	1799.71812	2106.69976	1784.09832	1781.39537	1570.36916	1704.48009	1744.52187	1788.81352	1651.04082	2384.76139	2225.63981	2469.51406	2046.68539	2254.67335	1860.36388	2158.95926	1811.07489	2198.81846	1894.53347	2130.16144	2169.55489	1916.20445	1977.31667	2162.8837	2040.0626	2041.16072	2019.32877
1200	1500	1507.10698	1613.62973	2122.13965	1693.20012	1416.2012	1492.91488	1550.12458	1384.97446	1708.53496	1518.73218	2094.63448	1820.06584	2320.04486	1605.88686	2184.33224	1585.92329	2117.97335	1547.99746	2069.88467	1572.89083	1694.24226	1751.20365	1669.43014	1669.6383	1611.61353	1642.18946	1805.00304	1358.26694
1500	1800	1084.44554	1351.6568	1617.93118	1351.77902	1511.61474	1250.9498	1368.87507	1238.11222	1310.27384	1302.5237	1708.88791	1452.26229	1874.84004	1301.12118	1606.55555	1292.05898	1535.58231	1302.79155	1549.72419	1389.06744	1365.30054	1752.43195	1628.0599	1606.02796	1686.22	1485.92517	1507.82099	1089.4727
1800	2100	1048.40692	1534.75908	1582.48672	1231.05195	1370.86579	1047.27699	1118.90673	1083.19672	1236.35798	1336.5536	1735.54233	1480.88462	1889.20965	1307.391	1587.55047	1273.96229	1528.9638	1239.06311	1561.15326	1306.14684	1437.22842	1450.96564	1573.42104	1499.85071	1484.54584	1438.01002	1465.15175	1368.06932
2100	2400	1011.14665	1161.48514	1673.80625	1513.42945	1244.14786	1088.67132	1459.35218	1139.95851	1342.57435	1178.07286	1644.74391	1672.38477	1675.14239	1447.02632	1632.2399	1376.35251	1619.90614	1239.58006	1583.14418	1380.97867	1202.25195	1496.2023	1380.45764	1328.30697	1321.42428	1236.08387	1334.8686	1002.93171
2400	2700	839.61801	1172.45191	1460.52532	1147.464	1168.86012	913.76604	1105.99925	1071.09958	1223.03871	1124.69904	1493.90047	1420.34892	1719.55325	1229.80073	1483.57528	1163.29831	1417.72988	1159.75579	1426.78614	1311.57037	1139.72287	1643.60086	1592.72097	1440.17065	1315.20049	1051.89037	1494.20981	888.24594
2700	3000	858.64089	1052.26162	1424.6154	1208.25854	1103.75024	898.92032	1087.04194	893.25995	1140.77476	1041.03149	1504.80602	1505.36315	1574.24581	1188.18071	1425.54182	1128.30093	1370.03078	1034.67708	1356.92411	1116.0718	1157.93588	1296.34317	1186.26988	1112.20945	1118.25066	1070.93065	1218.76628	939.22347
3000	3300	1063.12741	1138.1035	1300.34503	1155.71006	1115.1444	991.65842	1064.35023	900.99747	1077.70618	1056.46924	1265.85306	1361.99262	1456.79209	1088.63187	1303.2707	1056.41706	1237.43116	1042.52768	1237.13239	900.57594	1131.4724	1279.2938	1284.47028	1183.84645	1276.14682	1116.53593	1005.97414	958.03718
