index	name	volume-mm3
203	parasubiculum	73.0
211	HATA	77.0
212	fimbria	100.0
215	hippocampal_fissure	40.0
226	HP_tail	616.0
233	presubiculum-head	141.0
234	presubiculum-body	166.0
235	subiculum-head	206.0
236	subiculum-body	267.0
237	CA1-head	656.0
238	CA1-body	86.0
239	CA3-head	131.0
240	CA3-body	88.0
241	CA4-head	142.0
242	CA4-body	139.0
243	GC-ML-DG-head	182.0
244	GC-ML-DG-body	146.0
245	molecular_layer_HP-head	346.0
246	molecular_layer_HP-body	214.0
7001	Lateral-nucleus	604.0
7003	Basal-nucleus	421.0
7005	Central-nucleus	36.0
7006	Medial-nucleus	6.0
7007	Cortical-nucleus	20.0
7008	Accessory-Basal-nucleus	261.0
7009	Corticoamygdaloid-transitio	181.0
7010	Anterior-amygdaloid-area-AAA	24.0
7015	Paralaminar-nucleus	35.0
