index	name	volume-mm3
203	parasubiculum	113.0
211	HATA	143.0
212	fimbria	167.0
215	hippocampal_fissure	195.0
226	HP_tail	1284.0
233	presubiculum-head	299.0
234	presubiculum-body	342.0
235	subiculum-head	459.0
236	subiculum-body	519.0
237	CA1-head	1348.0
238	CA1-body	232.0
239	CA3-head	215.0
240	CA3-body	198.0
241	CA4-head	287.0
242	CA4-body	248.0
243	GC-ML-DG-head	358.0
244	GC-ML-DG-body	300.0
245	molecular_layer_HP-head	732.0
246	molecular_layer_HP-body	469.0
7001	Lateral-nucleus	1548.0
7003	Basal-nucleus	1106.0
7005	Central-nucleus	67.0
7006	Medial-nucleus	13.0
7007	Cortical-nucleus	55.0
7008	Accessory-Basal-nucleus	607.0
7009	Corticoamygdaloid-transitio	439.0
7010	Anterior-amygdaloid-area-AAA	71.0
7015	Paralaminar-nucleus	78.0
