frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.28248	0.68916	0.46102	1.10454	5.10108	0.03915	0.22064	0.58633	2.96632	0.52321	1.95226	0.71906	2.04735	0.06013	4.85266	0.06164	3.00427	0.36043	2.68587	13.91332	6.25509	0.38598	0.27142	0.26041	1.45889	1.30669	1.10072	7.01043
30	60	583.6176	73.04403	271.9668	511.40459	557.16007	410.85663	721.78327	373.278	318.83536	441.36193	257.39141	351.17696	265.96632	436.91169	356.35628	526.24726	370.00973	450.88688	397.04913	205.42407	386.56426	130.59825	224.82598	130.05938	118.103	177.10985	985.98451	492.40519
60	90	1581.69807	1166.1327	1614.46873	2008.33671	1220.9635	1532.82513	2167.19666	973.99485	1491.73792	1232.671	874.08225	2056.37246	1284.72257	1831.80912	1632.09951	1862.0207	1673.11431	1422.25926	1503.12748	1038.17177	1143.68052	662.73579	811.18991	792.48043	941.45072	1155.50587	1477.25399	1326.49085
90	120	2259.32399	2244.50998	2791.3023	2933.30929	2550.27253	2535.46632	2857.77412	1973.28512	2414.09717	2222.32971	1925.23352	3489.54873	2507.79626	3219.54165	2651.39101	3014.09738	2709.62748	2523.21146	2608.8255	1565.31489	1920.3991	1663.96808	2087.97414	2137.59659	2032.95955	2287.42135	2567.86684	2348.2373
120	150	4443.60968	3464.24828	3484.80458	3828.0204	3587.06344	4200.14181	4100.12153	3071.76963	3643.73713	3220.11831	2555.77809	3696.68022	3181.25923	3882.22864	3533.31096	4060.78369	3526.99961	3534.58505	3493.40717	2520.70829	2472.34767	2602.08674	2372.25323	2363.70307	2455.77868	3181.03669	4694.33855	2842.47352
150	180	3218.19695	2903.5132	4724.73123	4397.32559	3931.67712	3652.87262	4330.69537	3349.471	3724.85454	3239.6426	2915.20912	5106.52255	3971.64793	4207.39167	4256.31446	3907.32291	4178.94033	3766.33894	4067.2167	2718.75573	2819.78497	3502.05322	3101.77599	2674.95152	2781.61885	3100.60694	4420.03505	2598.10698
180	240	3472.98356	3284.49122	4200.70321	3784.76229	3841.80637	4148.19567	3586.5095	3429.84374	3605.59346	3332.96431	3111.8997	3564.3032	3952.12832	3861.34733	4124.70235	3643.64746	4029.57922	3771.77127	3815.0513	3310.29672	3172.70023	3114.99548	2950.28841	3277.5744	3490.48437	3408.8448	4261.42758	3143.2733
240	300	3173.64883	2694.73876	4099.95122	3725.43139	3478.57803	3552.89252	3506.82129	3543.36639	3544.96318	3235.27714	3076.21195	3901.4345	3849.5436	3680.44051	4057.74028	3616.53375	3969.33653	3581.65528	3788.04428	3029.65048	3168.65407	3656.04383	3768.87971	3630.1394	3254.33502	3036.86297	3428.17223	3120.93911
300	360	2822.65887	3105.80545	4146.79372	3654.23139	3303.64597	2884.57402	3773.12823	2819.0598	3048.84739	3342.46879	3015.38496	3828.51973	3883.17743	3989.98984	3968.7352	3669.25986	3823.55237	3517.4771	3615.18488	2889.09406	3187.25405	2801.06694	2957.57121	3169.65382	3398.62832	3009.19371	3281.36853	2983.68279
360	480	2891.60304	2637.21083	3785.3757	3592.91788	3515.33057	3311.29884	3563.0549	3085.44896	3489.20948	3154.23547	2768.21731	3953.21138	3598.62014	3777.48543	3779.06593	3522.63792	3717.73636	3505.38911	3564.44178	3094.62955	3240.75187	3411.87536	3264.58256	3198.8828	3340.74696	3091.74999	3061.4124	3317.33059
480	600	2986.45049	3220.05334	3763.66226	3516.908	3554.75527	3370.28666	3667.32013	2991.85754	3121.35611	3113.75361	3061.65392	3731.96612	3805.74416	3455.67782	3784.37423	3331.02757	3677.23156	3307.0445	3608.53558	3055.9714	3208.86748	3136.01002	2992.79828	3286.77087	3402.04797	3253.46206	2845.30399	3338.74093
