index	name	volume-mm3
203	parasubiculum	69.0
211	HATA	45.0
212	fimbria	166.0
215	hippocampal_fissure	430.0
226	HP_tail	523.0
233	presubiculum-head	194.0
234	presubiculum-body	191.0
235	subiculum-head	277.0
236	subiculum-body	262.0
237	CA1-head	805.0
238	CA1-body	225.0
239	CA3-head	135.0
240	CA3-body	124.0
241	CA4-head	180.0
242	CA4-body	153.0
243	GC-ML-DG-head	194.0
244	GC-ML-DG-body	172.0
245	molecular_layer_HP-head	403.0
246	molecular_layer_HP-body	256.0
7001	Lateral-nucleus	869.0
7003	Basal-nucleus	571.0
7005	Central-nucleus	24.0
7006	Medial-nucleus	2.0
7007	Cortical-nucleus	16.0
7008	Accessory-Basal-nucleus	282.0
7009	Corticoamygdaloid-transitio	233.0
7010	Anterior-amygdaloid-area-AAA	43.0
7015	Paralaminar-nucleus	60.0
