index	name	volume-mm3
8103	Left-AV	104.0
8104	Left-CeM	63.0
8105	Left-CL	6.0
8106	Left-CM	243.0
8108	Left-LD	16.0
8109	Left-LGN	233.0
8110	Left-LP	106.0
8111	Left-L-Sg	8.0
8112	Left-MDl	233.0
8113	Left-MDm	705.0
8115	Left-MGN	83.0
8116	Left-MV(Re)	8.0
8118	Left-Pf	54.0
8120	Left-PuA	250.0
8121	Left-PuI	206.0
8122	Left-PuL	203.0
8123	Left-PuM	1156.0
8126	Left-VA	363.0
8127	Left-VAmc	4.0
8128	Left-VLa	488.0
8129	Left-VLp	861.0
8130	Left-VM	2.0
8133	Left-VPL	947.0
8203	Right-AV	124.0
8204	Right-CeM	68.0
8205	Right-CL	7.0
8206	Right-CM	222.0
8208	Right-LD	36.0
8209	Right-LGN	204.0
8210	Right-LP	114.0
8211	Right-L-Sg	15.0
8212	Right-MDl	216.0
8213	Right-MDm	659.0
8215	Right-MGN	111.0
8216	Right-MV(Re)	15.0
8217	Right-Pc	1.0
8218	Right-Pf	55.0
8220	Right-PuA	198.0
8221	Right-PuI	140.0
8222	Right-PuL	128.0
8223	Right-PuM	945.0
8226	Right-VA	337.0
8227	Right-VAmc	10.0
8228	Right-VLa	554.0
8229	Right-VLp	792.0
8233	Right-VPL	800.0
