frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	259.17985	234.85451	307.35672	325.11178
30	60	1099.79137	772.49626	1225.23289	1334.17225
60	90	1752.65141	1599.40373	1617.70324	1702.71682
90	120	2400.16369	2208.25079	2332.79699	2738.03077
120	150	2550.02337	2325.85244	2234.87972	2865.08404
150	180	2337.39843	2270.70584	2222.86515	2472.07249
180	240	2391.75722	2210.42447	2298.3561	2541.44892
240	300	2240.01058	2287.7349	2084.52631	2454.42969
300	360	2348.38399	2178.22941	2165.17451	3099.51658
360	480	2163.51417	2262.20764	2179.32635	2366.48962
480	600	2135.0952	2182.69577	2334.11911	2379.93533
600	900	2182.72733	2166.42831	2223.03931	2407.89776
900	1200	2132.43452	2074.1997	2113.48525	2132.78381
1200	1500	2049.45265	1978.61938	2174.23379	1837.35628
1500	1800	1953.8363	1883.29752	1975.42897	1926.04132
1800	2100	1902.04458	1865.53791	1937.03307	1639.5538
2100	2400	1855.45913	1804.98092	2050.57344	1627.87705
2400	2700	1749.94216	1767.85365	1784.11957	1530.9548
2700	3000	1715.64824	1757.34419	1822.58426	1597.55633
3000	3300	1590.33807	1630.15307	1781.41553	1412.78113
3300	3600	1578.7759	1595.74104	1561.19987	1321.78497
3600	3900	1564.71706	1547.55933	1682.73679	1249.12376
3900	4200	1463.56049	1544.34696	1653.80349	1241.15717
4200	4500	1455.18401	1487.04559	1608.95149	1168.68315
4500	4800	1438.58762	1480.27453	1471.3541	1211.33599
4800	5100	1366.43876	1473.48898	1587.61242	1147.74511
5100	5400	1364.66087	1407.91948	1566.592	1312.63718
5400	5700	1315.80913	1368.0092	1560.91064	1286.20445
5700	6000	1294.95008	1376.27144	1595.63795	1434.72759
6000	6300	1290.16096	1372.62766	1462.05646	1247.25926
6300	6600	1281.49636	1377.34178	1532.32764	1159.3399
6600	6900	1159.96177	1347.66359	1519.97498	970.88167
6900	7200	1246.67645	1311.22537	1546.4675	1011.37707
