index	name	volume-mm3
203	parasubiculum	86.0
211	HATA	113.0
212	fimbria	136.0
215	hippocampal_fissure	56.0
226	HP_tail	1397.0
233	presubiculum-head	211.0
234	presubiculum-body	231.0
235	subiculum-head	306.0
236	subiculum-body	482.0
237	CA1-head	1045.0
238	CA1-body	260.0
239	CA3-head	237.0
240	CA3-body	201.0
241	CA4-head	255.0
242	CA4-body	257.0
243	GC-ML-DG-head	295.0
244	GC-ML-DG-body	263.0
245	molecular_layer_HP-head	610.0
246	molecular_layer_HP-body	464.0
7001	Lateral-nucleus	1440.0
7003	Basal-nucleus	894.0
7005	Central-nucleus	63.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	50.0
7008	Accessory-Basal-nucleus	488.0
7009	Corticoamygdaloid-transitio	339.0
7010	Anterior-amygdaloid-area-AAA	62.0
7015	Paralaminar-nucleus	83.0
