index	name	volume-mm3
8103	Left-AV	103.0
8104	Left-CeM	74.0
8105	Left-CL	9.0
8106	Left-CM	233.0
8108	Left-LD	12.0
8109	Left-LGN	339.0
8110	Left-LP	83.0
8111	Left-L-Sg	16.0
8112	Left-MDl	206.0
8113	Left-MDm	703.0
8115	Left-MGN	109.0
8116	Left-MV(Re)	8.0
8118	Left-Pf	32.0
8120	Left-PuA	181.0
8121	Left-PuI	253.0
8122	Left-PuL	103.0
8123	Left-PuM	1020.0
8126	Left-VA	334.0
8127	Left-VAmc	5.0
8128	Left-VLa	460.0
8129	Left-VLp	738.0
8130	Left-VM	1.0
8133	Left-VPL	914.0
8203	Right-AV	133.0
8204	Right-CeM	82.0
8205	Right-CL	4.0
8206	Right-CM	238.0
8208	Right-LD	9.0
8209	Right-LGN	341.0
8210	Right-LP	78.0
8211	Right-L-Sg	11.0
8212	Right-MDl	201.0
8213	Right-MDm	709.0
8215	Right-MGN	125.0
8216	Right-MV(Re)	12.0
8218	Right-Pf	49.0
8220	Right-PuA	179.0
8221	Right-PuI	293.0
8222	Right-PuL	128.0
8223	Right-PuM	1116.0
8226	Right-VA	374.0
8227	Right-VAmc	9.0
8228	Right-VLa	534.0
8229	Right-VLp	762.0
8230	Right-VM	6.0
8233	Right-VPL	1011.0
