index	name	volume-mm3
203	parasubiculum	41.0
211	HATA	56.0
212	fimbria	76.0
215	hippocampal_fissure	28.0
226	HP_tail	681.0
233	presubiculum-head	113.0
234	presubiculum-body	117.0
235	subiculum-head	152.0
236	subiculum-body	222.0
237	CA1-head	540.0
238	CA1-body	125.0
239	CA3-head	113.0
240	CA3-body	102.0
241	CA4-head	130.0
242	CA4-body	124.0
243	GC-ML-DG-head	152.0
244	GC-ML-DG-body	129.0
245	molecular_layer_HP-head	306.0
246	molecular_layer_HP-body	221.0
7001	Lateral-nucleus	719.0
7003	Basal-nucleus	457.0
7005	Central-nucleus	34.0
7006	Medial-nucleus	2.0
7007	Cortical-nucleus	26.0
7008	Accessory-Basal-nucleus	255.0
7009	Corticoamygdaloid-transitio	163.0
7010	Anterior-amygdaloid-area-AAA	31.0
7015	Paralaminar-nucleus	47.0
